fyear,gvkey,p_aaer,misstate,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f,dch_wc,ch_rsst,dch_rec,dch_inv,soft_assets,ch_cs,ch_cm,ch_roa,issue,bm,dpi,reoa,EBIT,ch_fcf
1990,1009,,0,10.047,3.736,32.335,6.262,0.002,30.633,2.526,3.283,32.853,17.691,1.971,1.431,2.355,0,0,8.382,26.073,2.135,31.767,0,5.42,6.895,40.522,0,0,0.769,2.333,6,0.069594687,0.046042722,0.041934821,0.033034369,0.312447812,0.09508151,0.082631422,-0.019760947,1,0.413169833,0.87355485,0.167620226,0.161960724,-0.042140216
1990,1011,,0,1.247,0.803,7.784,0.667,0.171,1.125,3.556,0.021,2.017,5.871,0.7,-1.869,0.663,0.132,0,1.246,7.117,-1.869,7.328,0,-3.339,0.29,3.635,0.006,0,0,0.64,1.188,-0.065603645,-0.240937195,-0.006247966,-0.026684022,0.315904419,0.188831504,-0.211389481,-0.117832439,1,0.157887461,0.74513922,-0.428956835,-0.157887975,0.10022779
1990,1017,,0,55.04,3.601,118.12,44.393,3.132,107.343,3.882,6.446,6.5,37.603,6.271,1.722,4.292,12.989,2.913,32.615,73.727,2.574,78.331,0,46.63,47.366,144.258,0,0,0.986,3.962,5.125,0.092822472,0.02014263,0.002156408,0.002745988,0.605342025,0.097550936,-0.105779791,0.091205983,1,2.231336626,1.01513135,0.394768033,0.063681002,0.066347917
1990,1021,,0,24.684,3.948,34.591,7.751,0.411,31.214,4.755,8.791,0.587,8.906,1.325,0.422,15.463,0,0,16.208,25.545,0.422,11.145,1.295,3.28,8.522,48.292,0,0.448,0.365,2.269,1.562,0.014059652,0.035120201,0.035583071,0.008331646,0.793067561,-0.005725392,-0.24970367,0.017545067,1,1.043581509,1.02626103,0.094822353,0.08834668,-0.017357595
1990,1028,,0,17.325,3.52,27.542,-12.142,1.017,32.662,6.735,32.206,0,0.266,2.711,-23.577,8.971,0,0,39.418,39.684,-22.812,5.782,0,-25.955,6.354,33.543,0,0,0,3.51,1.125,-0.540503062,-0.575324525,-0.10215323,-0.222021888,0.869181614,-0.231536476,-1.674893256,-0.466666554,0,-1.60250763,0.598443224,-0.942378912,-0.700820565,0.13034937
1990,1034,,0,148.396,24.301,328.495,111.015,8.478,153.262,11.235,44.339,0.273,101.386,8.283,14.106,61.062,0,0,95.747,217.48,14.106,128.932,0,62.986,75.212,275.457,0,7.072,8.614,11.945,25.375,0.060668613,0.041695719,0.020134435,0.029831189,0.688689326,0.040055628,0.092675059,0.003066773,1,0.389406142,0.851688455,0.191741122,0.10552672,-0.034367341
1990,1036,,0,637.88,199.012,1011.901,324.132,113.271,1185.288,28.489,22.444,60.769,195.221,18.628,19.724,248.266,0,0,314.503,535.625,26.381,275.815,152.144,-38.621,257.402,1437.561,0,2.223,12.522,16.928,8.25,0.009401544,0.026702867,0.022033115,-0.004162598,0.754448311,-0.033880706,-0.37243989,-0.040404848,1,1.379084112,0.955719778,-0.038166777,0.05517437,-0.042159726
1990,1043,,0,396.594,92.14,677.736,183.566,50.125,596.137,46.758,80.971,1.146,92.131,18.495,-41.532,171.143,0,0,326.531,494.135,-41.532,154.273,0.035,-130.386,162.197,876.545,0.082,0,0.75,19.593,2.125,-0.027599649,-0.071172506,-0.018774629,0.044958872,0.819712986,0.04702334,-0.061931804,-0.108795711,1,1.847471056,0.964188379,-0.192384645,-0.031264386,-0.041039047
1990,1045,,0,2657.8,966.3,13353.6,3727.4,949.3,10908.2,62.3,1319.1,2264.6,3271.9,687.4,-39.6,608.5,0,835.8,4824.7,9626.2,-39.6,13118.9,0,2422.2,951.4,11719.6,0,0,6.3,337.4,48.375,-0.019891874,-0.002608229,0.00538979,0.009747844,0.2438818,0.117693318,-0.369057389,-0.047424309,1,1.236792879,0.996030686,0.181389288,0.022772885,-0.038199001
1990,1050,,0,0.004,0,0.126,-0.778,0,0,9.928,0.624,0.132,0.226,0,-1.172,0,0.096,0,0.678,0.904,-1.61,0.024,0,-2.794,0,0,0,0,0.002,0.045,0.5,0.227642276,-1.117886179,0,0,0.80952381,,,-1.520085496,1,-0.156728454,,-22.17460317,-7.016393443,0.118902439
